Model,Bin,N,Base_median_pct,Base_Q1_pct,Base_Q3_pct,Post10_median_pct,Post10_Q1_pct,Post10_Q3_pct,Post20_median_pct,Post20_Q1_pct,Post20_Q3_pct,Post30_median_pct,Post30_Q1_pct,Post30_Q3_pct
Flan-T5-small,low,422,52.43,45.37,58.59,46.82,29.13,63.16,46.23,28.32,63.25,47.07,28.07,62.69
Flan-T5-small,mid,344,74.78,69.85,80.44,69.85,52.61,83.07,69.81,53.02,82.96,68.85,53.38,82.63
Flan-T5-small,high,455,95.45,90.67,98.52,95.11,88.19,98.79,94.7,87.46,98.82,94.56,87.66,98.82
Flan-T5-large,low,99,56.5,50.28,60.25,44.77,13.92,72.34,43.51,16.72,72.46,43.66,14.73,72.48
Flan-T5-large,mid,98,77.63,72.43,80.68,51.46,29.66,81.92,59.1,26.55,82.34,56.39,26.12,82.31
Flan-T5-large,high,1024,99.89,98.5,99.99,97.97,84.93,99.79,97.98,84.27,99.78,97.77,83.99,99.77
Llama-2-7b,low,617,51.09,43.06,59.48,33.87,17.21,55.74,34.42,17.53,56.28,34.4,17.16,56.46
Llama-2-7b,mid,333,73.43,67.25,80.51,44.94,25.08,67.91,44.21,24.07,70.35,46.12,24.84,69.46
Llama-2-7b,high,271,93.28,89.14,96.13,70.69,49.85,86.86,70.64,49.03,86.64,71.14,50.9,86.43
Mistral-7B,low,390,54.09,45.88,64.28,26.39,8.74,58.34,27.41,10.2,57.8,27.97,10.61,55.55
Mistral-7B,mid,320,71.32,60.28,81.96,53.65,23.47,75.9,52.09,24.05,75.14,50.32,22.98,75.08
Mistral-7B,high,511,93.27,83.82,97.82,85.04,58.54,96.44,85.35,56.48,96.08,84.24,56.84,96.16
